,val_id,train_id,name,description,resnet_id,resnet_desc,resnet_class
223,224,n02219486,"ant, emmet, pismire",social insect living in organized colonies; characteristically the males and fertile queen have wings during breeding season; wingless sterile females are the workers,n02219486,ant,311
224,225,n02317335,"starfish, sea star",echinoderms characterized by five arms extending from a central disk,n02317335,starfish,328
225,226,n01968897,"chambered nautilus, pearly nautilus, nautilus",cephalopod of the Indian and Pacific oceans having a spiral shell with pale pearly partitions,n01968897,chambered_nautilus,118
226,227,n03452741,"grand piano, grand",a piano with the strings on a horizontal harp-shaped frame; usually supported by three legs,n03452741,grand_piano,580
227,228,n03642806,"laptop, laptop computer",a portable computer small enough to use in your lap,n03642806,laptop,621
228,229,n07745940,strawberry,sweet fleshy red fruit,n07745940,strawberry,950
229,230,n02690373,airliner,a commercial airplane that carries passengers,n02690373,airliner,405
230,231,n04552348,"warplane, military plane",an aircraft designed and used for combat,n04552348,warplane,896
231,232,n02692877,"airship, dirigible",a steerable self-propelled aircraft,n02692877,airship,406
232,233,n02782093,balloon,large tough nonrigid bag filled with gas or heated air,n02782093,balloon,418
233,234,n04266014,space shuttle,a reusable spacecraft with wings for a controlled descent through the Earth's atmosphere,n04266014,space_shuttle,813
234,235,n03344393,fireboat,a boat equipped to fight fires on ships or along a waterfront,n03344393,fireboat,555
235,236,n03447447,gondola,long narrow flat-bottomed boat propelled by sculling; traditionally used on canals of Venice,n03447447,gondola,577
236,237,n04273569,speedboat,a fast motorboat,n04273569,speedboat,815
237,238,n03662601,lifeboat,a strong sea boat designed to rescue people from a sinking ship,n03662601,lifeboat,626
238,239,n02951358,canoe,small and light boat; pointed at both ends; propelled with a paddle,n02951358,canoe,473
239,240,n04612504,yawl,a ship's small boat (usually rowed by 4 or 6 oars),n04612504,yawl,915
240,241,n02981792,catamaran,a sailboat with two parallel hulls held together by single deck,n02981792,catamaran,485
241,242,n04483307,trimaran,a fast sailboat with 3 parallel hulls,n04483307,trimaran,872
242,243,n03095699,"container ship, containership, container vessel","a cargo ship designed to hold containerized cargoes; ""the weight of the documentation of all the consignments on board a contemporary container ship can exceed 90 pounds""",n03095699,container_ship,511
243,244,n03673027,"liner, ocean liner",a large commercial ship (especially one that carries passengers on a regular schedule),n03673027,liner,629
244,245,n03947888,"pirate, pirate ship",a ship that is manned by pirates,n03947888,pirate,725
245,246,n02687172,"aircraft carrier, carrier, flattop, attack aircraft carrier",a large warship that carries planes and has a long flat deck for takeoffs and landings,n02687172,aircraft_carrier,404
246,247,n04347754,"submarine, pigboat, sub, U-boat",a submersible warship usually armed with torpedoes,n04347754,submarine,834
247,248,n04606251,wreck,a ship that has been destroyed at sea,n04606251,wreck,914
248,249,n03478589,half track,a motor vehicle propelled by half tracks; frequently used by the military,n03478589,half_track,587
249,250,n04389033,"tank, army tank, armored combat vehicle, armoured combat vehicle",an enclosed armored military vehicle; has a cannon and moves on caterpillar treads,n04389033,tank,848
250,251,n03773504,missile,a rocket carrying a warhead of conventional or nuclear explosives; may be ballistic or directed by remote control,n03773504,missile,658
251,252,n02860847,"bobsled, bobsleigh, bob",a long racing sled (for 2 or more people) with a steering mechanism,n02860847,bobsled,451
252,253,n03218198,"dogsled, dog sled, dog sleigh",a sled pulled by dogs,n03218198,dogsled,538
253,254,n02835271,"bicycle-built-for-two, tandem bicycle, tandem",a bicycle with two sets of pedals and two seats,n02835271,bicycle-built-for-two,445
254,255,n03792782,"mountain bike, all-terrain bike, off-roader",a bicycle with a sturdy frame and fat tires; originally designed for riding in mountainous country,n03792782,mountain_bike,672
255,256,n03393912,freight car,a railway car that carries freight,n03393912,freight_car,566
256,257,n03895866,"passenger car, coach, carriage",a railcar where passengers ride,n03895866,passenger_car,706
257,258,n02797295,"barrow, garden cart, lawn cart, wheelbarrow",a cart for carrying small loads; has handles and one or more wheels,n02797295,barrow,429
258,259,n04204347,shopping cart,a handcart that holds groceries or other goods while shopping,n04204347,shopping_cart,792
259,260,n03791053,"motor scooter, scooter",a wheeled vehicle with small wheels and a low-powered gasoline engine geared to the rear wheel,n03791053,motor_scooter,671
260,261,n03384352,forklift,a small industrial vehicle with a power operated forked platform in front that can be inserted under loads to lift and move them,n03384352,forklift,562
261,262,n03272562,electric locomotive,a locomotive that is powered by an electric motor,n03272562,electric_locomotive,548
262,263,n04310018,steam locomotive,a locomotive powered by a steam engine,n04310018,steam_locomotive,821
263,264,n02704792,"amphibian, amphibious vehicle",a flat-bottomed motor vehicle that can travel on land or water,n02704792,amphibian,409
264,265,n02701002,ambulance,a vehicle that takes people to and from hospitals,n02701002,ambulance,408
265,266,n02814533,"beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon",a car that has a long body and rear door with space behind rear seat,n02814533,beach_wagon,437
266,267,n02930766,"cab, hack, taxi, taxicab",a car driven by a person whose job is to take passengers where they want to go in exchange for money,n02930766,cab,469
267,268,n03100240,convertible,a car that has top that can be folded or removed,n03100240,convertible,512
268,269,n03594945,"jeep, landrover",a car suitable for traveling over rough terrain,n03594945,jeep,610
269,270,n03670208,"limousine, limo",large luxurious car; usually driven by a chauffeur,n03670208,limousine,628
270,271,n03770679,minivan,a small box-shaped passenger van; usually has removable seats; used as a family car,n03770679,minivan,657
271,272,n03777568,Model T,the first widely available automobile powered by a gasoline engine; mass-produced by Henry Ford from 1908 to 1927,n03777568,Model_T,662
272,273,n04037443,"racer, race car, racing car",a fast car that competes in races,n04037443,racer,752
273,274,n04285008,"sports car, sport car",a small low car with a high-powered engine; usually seats two persons,n04285008,sports_car,818
274,275,n03444034,go-kart,a small low motor vehicle with four wheels and an open framework; used for racing,n03444034,go-kart,574
275,276,n03445924,"golfcart, golf cart",a small motor vehicle in which golfers can ride between shots,n03445924,golfcart,576
276,277,n03785016,moped,a motorbike that can be pedaled or driven by a low-powered gasoline engine,n03785016,moped,666
277,278,n04252225,"snowplow, snowplough",a vehicle used to push snow from roads,n04252225,snowplow,804
278,279,n03345487,"fire engine, fire truck",any of various large trucks that carry firemen and equipment to the site of a fire,n03345487,fire_engine,556
279,280,n03417042,"garbage truck, dustcart","a truck for collecting domestic refuse; ""in Britain a garbage truck is called a dustcart""",n03417042,garbage_truck,570
280,281,n03930630,"pickup, pickup truck",a light truck with an open body and low sides and a tailboard,n03930630,pickup,718
281,282,n04461696,"tow truck, tow car, wrecker",a truck equipped to hoist and pull wrecked cars (or to remove cars from no-parking zones),n04461696,tow_truck,865
282,283,n04467665,"trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi",a truck consisting of a tractor and trailer together,n04467665,trailer_truck,868
283,284,n03796401,moving van,a van used for moving home or office furniture,n03796401,moving_van,676
284,285,n03977966,"police van, police wagon, paddy wagon, patrol wagon, wagon, black Maria",van used by police to transport prisoners,n03977966,police_van,735
285,286,n04065272,"recreational vehicle, RV, R.V.",a motorized wheeled vehicle used for camping or other recreational activities,n04065272,recreational_vehicle,758
286,287,n04335435,"streetcar, tram, tramcar, trolley, trolley car",a wheeled vehicle that runs on rails and is propelled by electricity,n04335435,streetcar,830
287,288,n04252077,snowmobile,tracked vehicle for travel on snow having skis in front,n04252077,snowmobile,803
288,289,n04465501,tractor,a wheeled vehicle with large wheels; used in farming and other applications,n04465501,tractor,867
289,290,n03776460,"mobile home, manufactured home",a large house trailer that can be connected to utilities and can be parked in one place and used as permanent housing,n03776460,mobile_home,661
290,291,n04482393,"tricycle, trike, velocipede",a vehicle with three wheels that is moved by foot pedals,n04482393,tricycle,871
291,292,n04509417,"unicycle, monocycle",a vehicle with a single wheel that is driven by pedals,n04509417,unicycle,881
292,293,n03538406,"horse cart, horse-cart",heavy cart; drawn by a horse; used for farm work,n03538406,horse_cart,604
293,294,n03599486,"jinrikisha, ricksha, rickshaw",a small two-wheeled cart for one passenger; pulled by one person,n03599486,jinrikisha,613
294,295,n03868242,oxcart,a cart that is drawn by an ox,n03868242,oxcart,691
295,296,n02804414,bassinet,a basket (usually hooded) used as a baby's bed,n02804414,bassinet,432
296,297,n03125729,cradle,a baby bed with sides and rockers,n03125729,cradle,517
297,298,n03131574,"crib, cot",baby bed with high sides made of slats,n03131574,crib,521
298,299,n03388549,four-poster,a bed with posts at the four corners that can be used to support a canopy or curtains,n03388549,four-poster,565
299,300,n02870880,bookcase,a piece of furniture with shelves for storing books,n02870880,bookcase,454
300,301,n03018349,"china cabinet, china closet",a cabinet (usually with glass doors) for storing and displaying china,n03018349,china_cabinet,496
301,302,n03742115,"medicine chest, medicine cabinet",cabinet that holds medicines and toiletries,n03742115,medicine_chest,649
302,303,n03016953,"chiffonier, commode",a tall elegant chest of drawers,n03016953,chiffonier,494
303,304,n04380533,table lamp,a lamp that sits on a table,n04380533,table_lamp,847
304,305,n03337140,"file, file cabinet, filing cabinet",office furniture consisting of a container for keeping papers in order,n03337140,file,554
305,306,n03891251,park bench,a bench in a public park,n03891251,park_bench,704
306,307,n02791124,barber chair,a large fixed adjustable chair in which barbers seat their customers,n02791124,barber_chair,424
307,308,n04429376,throne,"the chair of state for a monarch, bishop, etc.; ""the king sat on his throne""",n04429376,throne,858
308,309,n03376595,folding chair,a chair that can be folded flat for storage,n03376595,folding_chair,560
309,310,n04099969,"rocking chair, rocker",a chair mounted on rockers,n04099969,rocking_chair,766
310,311,n04344873,"studio couch, day bed",convertible consisting of an upholstered couch that can be converted into a double bed,n04344873,studio_couch,832
311,312,n04447861,toilet seat,the hinged seat on a toilet,n04447861,toilet_seat,862
312,313,n03179701,desk,a piece of furniture with a writing surface and usually drawers or other compartments,n03179701,desk,527
313,314,n03982430,"pool table, billiard table, snooker table",game equipment consisting of a heavy table on which pool is played,n03982430,pool_table,737
314,315,n03201208,"dining table, board","a table at which meals are served; ""he helped her clear the dining table""; ""a feast was spread upon the board""",n03201208,dining_table,533
315,316,n03290653,entertainment center,a wall unit containing sound and television systems,n03290653,entertainment_center,549
316,317,n04550184,"wardrobe, closet, press",a tall piece of furniture that provides storage space for clothes; has a door and rails or hooks for hanging clothes,n04550184,wardrobe,895
317,318,n07742313,Granny Smith,apple with a green skin and hard tart flesh,n07742313,Granny_Smith,949
318,319,n07747607,orange,round yellow to orange fruit of any of several citrus trees,n07747607,orange,951
319,320,n07749582,lemon,yellow oval fruit with juicy acidic flesh,n07749582,lemon,952
320,321,n07753113,fig,fleshy sweet pear-shaped yellowish or purple multiple fruit eaten fresh or preserved or dried,n07753113,fig,953
321,322,n07753275,"pineapple, ananas",large sweet fleshy tropical fruit with a terminal tuft of stiff leaves; widely cultivated,n07753275,pineapple,954
322,323,n07753592,banana,elongated crescent-shaped yellow fruit with soft sweet flesh,n07753592,banana,955
323,324,n07754684,"jackfruit, jak, jack",immense East Indian fruit resembling breadfruit; it contains an edible pulp and nutritious seeds that are commonly roasted,n07754684,jackfruit,956
324,325,n07760859,custard apple,the fruit of any of several tropical American trees of the genus Annona having soft edible pulp,n07760859,custard_apple,957
325,326,n07768694,pomegranate,large globular fruit having many seeds with juicy red pulp in a tough brownish-red rind,n07768694,pomegranate,958
326,327,n12267677,acorn,fruit of the oak tree: a smooth thin-walled nut in a woody cup-shaped base,n12267677,acorn,989
327,328,n12620546,"hip, rose hip, rosehip",the fruit of a rose plant,n12620546,hip,990
328,329,n13133613,"ear, spike, capitulum",fruiting spike of a cereal plant especially corn,n13133613,ear,999
329,330,n11879895,rapeseed,seed of rape plants; source of an edible oil,n11879895,rapeseed,985
330,331,n12144580,corn,the dried grains or kernels or corn used as animal feed or ground for meal,n12144580,corn,988
331,332,n12768682,"buckeye, horse chestnut, conker",the inedible nutlike seed of the horse chestnut,n12768682,buckeye,991
332,333,n03854065,"organ, pipe organ",wind instrument whose sound is produced by means of pipes arranged in sets supplied with air from a bellows and controlled from a large complex musical keyboard,n03854065,organ,688
333,334,n04515003,"upright, upright piano",a piano with a vertical sounding board,n04515003,upright,882
334,335,n03017168,"chime, bell, gong",a percussion instrument consisting of a set of tuned bells that are struck with a hammer; used as an orchestral instrument,n03017168,chime,495
335,336,n03249569,"drum, membranophone, tympan",a musical percussion instrument; usually consists of a hollow cylinder with a membrane stretched across each end,n03249569,drum,542
336,337,n03447721,"gong, tam-tam",a percussion instrument consisting of a metal plate that is struck with a softheaded drumstick,n03447721,gong,578
337,338,n03720891,maraca,a percussion instrument consisting of a hollow gourd containing pebbles or beans; often played in pairs,n03720891,maraca,642
338,339,n03721384,"marimba, xylophone",a percussion instrument with wooden bars tuned to produce a chromatic scale and with resonators; played with small mallets,n03721384,marimba,643
339,340,n04311174,steel drum,a concave percussion instrument made from the metal top of an oil drum; has an array of flattened areas that produce different tones when struck (of Caribbean origin),n04311174,steel_drum,823
340,341,n02787622,banjo,a stringed instrument of the guitar family that has long neck and circular body,n02787622,banjo,421
341,342,n02992211,"cello, violoncello",a large stringed instrument; seated player holds it upright while playing,n02992211,cello,487
342,343,n04536866,"violin, fiddle",bowed stringed instrument that is the highest member of the violin family; this instrument has four strings and a hollow body and an unfretted fingerboard and is played with a bow,n04536866,violin,890
343,344,n03495258,harp,a chordophone that has a triangular frame consisting of a sounding board and a pillar and a curved neck; the strings stretched between the neck and the soundbox are plucked with the fingers,n03495258,harp,595
344,345,n02676566,acoustic guitar,sound is not amplified by electrical means,n02676566,acoustic_guitar,403
345,346,n03272010,electric guitar,a guitar whose sound is amplified by electrical means,n03272010,electric_guitar,547
346,347,n03110669,"cornet, horn, trumpet, trump",a brass musical instrument with a brilliant tone; has a narrow tube and a flared bell and is played by means of valves,n03110669,cornet,514
347,348,n03394916,"French horn, horn",a brass musical instrument consisting of a conical tube that is coiled into a spiral and played by means of valves,n03394916,French_horn,567
348,349,n04487394,trombone,a brass instrument consisting of a long tube whose length can be varied by a U-shaped slide,n04487394,trombone,876
349,350,n03494278,"harmonica, mouth organ, harp, mouth harp",a small rectangular free-reed instrument having a row of free reeds set back in air holes and played by blowing into the desired hole,n03494278,harmonica,594
350,351,n03840681,"ocarina, sweet potato",egg-shaped terra cotta wind instrument with a mouthpiece and finger holes,n03840681,ocarina,685
351,352,n03884397,"panpipe, pandean pipe, syrinx",a primitive wind instrument consisting of several parallel pipes bound together,n03884397,panpipe,700
352,353,n02804610,bassoon,a double-reed instrument; the tenor of the oboe family,n02804610,bassoon,433
353,354,n03838899,"oboe, hautboy, hautbois",a slender double-reed instrument; a woodwind with a conical bore and a double-reed mouthpiece,n03838899,oboe,684
354,355,n04141076,"sax, saxophone",a single-reed woodwind with a conical bore,n04141076,sax,777
355,356,n03372029,"flute, transverse flute",a high-pitched woodwind instrument; a slender tube closed at one end with finger holes on one end and an opening near the closed end across which the breath is blown,n03372029,flute,559
356,357,n11939491,daisy,any of numerous composite plants having flower heads with well-developed ray flowers usually arranged in a single whorl,n11939491,daisy,986
357,358,n12057211,"yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum","maroon to purple-brown orchid with yellow lip; Europe, North America and Japan",n12057211,yellow_lady's_slipper,987
358,359,n09246464,"cliff, drop, drop-off","a steep high face of rock; ""he stood on a high cliff overlooking the town""; ""a steep drop""",n09246464,cliff,973
359,360,n09468604,"valley, vale",a long depression in the surface of the land that usually contains a river,n09468604,valley,980
360,361,n09193705,alp,any high mountain,n09193705,alp,971
361,362,n09472597,volcano,a mountain formed by volcanic material,n09472597,volcano,981
362,363,n09399592,"promontory, headland, head, foreland",a natural elevation (especially a rocky one that juts out into the sea),n09399592,promontory,977
363,364,n09421951,"sandbar, sand bar",a bar of sand,n09421951,sandbar,978
364,365,n09256479,coral reef,a reef consisting of coral consolidated into limestone,n09256479,coral_reef,974
365,366,n09332890,"lakeside, lakeshore",the shore of a lake,n09332890,lakeside,976
366,367,n09428293,"seashore, coast, seacoast, sea-coast",the shore of a sea or ocean,n09428293,seashore,979
367,368,n09288635,geyser,a spring that discharges hot water and steam,n09288635,geyser,975
368,369,n03498962,hatchet,a small ax with a short handle used with one hand (usually to chop wood),n03498962,hatchet,597
369,370,n03041632,"cleaver, meat cleaver, chopper",a butcher's knife having a large square blade,n03041632,cleaver,500
370,371,n03658185,"letter opener, paper knife, paperknife",dull knife used to cut open the envelopes in which letters are mailed or to slit uncut pages of books,n03658185,letter_opener,624
371,372,n03954731,"plane, carpenter's plane, woodworking plane","a carpenter's hand tool with an adjustable blade for smoothing or shaping wood; ""the cabinetmaker used a plane for the finish work""",n03954731,plane,727
372,373,n03995372,power drill,a power tool for drilling holes into hard materials,n03995372,power_drill,741
373,374,n03649909,"lawn mower, mower",garden tool for mowing grass on lawns,n03649909,lawn_mower,622
374,375,n03481172,hammer,a hand tool with a heavy rigid head and a handle; used to deliver an impulsive force by striking,n03481172,hammer,588
375,376,n03109150,"corkscrew, bottle screw",a bottle opener that pulls corks,n03109150,corkscrew,513
376,377,n02951585,"can opener, tin opener",a device for cutting cans open,n02951585,can_opener,474
377,378,n03970156,"plunger, plumber's helper",hand tool consisting of a stick with a rubber suction cup at one end; used to clean clogged drains,n03970156,plunger,732
378,379,n04154565,screwdriver,a hand tool for driving screws; has a tip that fits into the head of a screw,n04154565,screwdriver,785
379,380,n04208210,shovel,a hand tool for lifting loose material; consists of a curved container or scoop and a handle,n04208210,shovel,793
380,381,n03967562,"plow, plough",a farm tool having one or more heavy blades to break the soil and cut a furrow prior to sowing,n03967562,plow,731
381,382,n03000684,"chain saw, chainsaw",portable power saw; teeth linked to form an endless chain,n03000684,chain_saw,492
382,383,n01514668,cock,adult male bird,n01514668,cock,8
383,384,n01514859,hen,adult female bird,n01514859,hen,9
384,385,n01518878,"ostrich, Struthio camelus",fast-running African flightless bird with two-toed feet; largest living bird,n01518878,ostrich,10
385,386,n01530575,"brambling, Fringilla montifringilla",Eurasian finch,n01530575,brambling,11
386,387,n01531178,"goldfinch, Carduelis carduelis",small European finch having a crimson face and yellow-and-black wings,n01531178,goldfinch,12
387,388,n01532829,"house finch, linnet, Carpodacus mexicanus",small finch originally of the western United States and Mexico,n01532829,house_finch,13
388,389,n01534433,"junco, snowbird",small North American finch seen chiefly in winter,n01534433,junco,14
389,390,n01537544,"indigo bunting, indigo finch, indigo bird, Passerina cyanea",small deep blue North American bunting,n01537544,indigo_bunting,15
390,391,n01558993,"robin, American robin, Turdus migratorius",large American thrush having a rust-red breast and abdomen,n01558993,robin,16
391,392,n01560419,bulbul,nightingale spoken of in Persian poetry,n01560419,bulbul,17
392,393,n01580077,jay,crested largely blue bird,n01580077,jay,18
393,394,n01582220,magpie,long-tailed black-and-white crow that utters a raucous chattering call,n01582220,magpie,19
394,395,n01592084,chickadee,any of various small grey-and-black songbirds of North America,n01592084,chickadee,20
395,396,n01601694,"water ouzel, dipper",small stocky diving bird without webbed feet; frequents fast-flowing streams and feeds along the bottom,n01601694,water_ouzel,21
396,397,n01608432,kite,any of several small graceful hawks of the family Accipitridae having long pointed wings and feeding on insects and small animals,n01608432,kite,22
397,398,n01614925,"bald eagle, American eagle, Haliaeetus leucocephalus",a large eagle of North America that has a white head and dark wings and body,n01614925,bald_eagle,23
398,399,n01616318,vulture,any of various large diurnal birds of prey having naked heads and weak claws and feeding chiefly on carrion,n01616318,vulture,24
399,400,n01622779,"great grey owl, great gray owl, Strix nebulosa",large dish-faced owl of northern North America and western Eurasia,n01622779,great_grey_owl,25
400,401,n01795545,black grouse,grouse of which the male is bluish-black,n01795545,black_grouse,81
401,402,n01796340,ptarmigan,large Arctic and subarctic grouse with feathered feet and usually white winter plumage,n01796340,ptarmigan,82
402,403,n01797886,"ruffed grouse, partridge, Bonasa umbellus",valued as a game bird in eastern United States and Canada,n01797886,ruffed_grouse,83
403,404,n01798484,"prairie chicken, prairie grouse, prairie fowl",brown mottled North American grouse of western prairies,n01798484,prairie_chicken,84
404,405,n01806143,peacock,male peafowl; having a crested head and very large fanlike tail marked with iridescent eyes or spots,n01806143,peacock,85
405,406,n01806567,quail,small gallinaceous game birds,n01806567,quail,86
406,407,n01807496,partridge,small Old World gallinaceous game birds,n01807496,partridge,87
407,408,n01817953,"African grey, African gray, Psittacus erithacus",commonly domesticated grey parrot with red-and-black tail and white face; native to equatorial Africa,n01817953,African_grey,88
408,409,n01818515,macaw,long-tailed brilliantly colored parrot of Central America and South America; among the largest and showiest of parrots,n01818515,macaw,89
409,410,n01819313,"sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita",white cockatoo with a yellow erectile crest,n01819313,sulphur-crested_cockatoo,90
410,411,n01820546,lorikeet,any of various small lories,n01820546,lorikeet,91
411,412,n01824575,coucal,Old World ground-living cuckoo having a long dagger-like hind claw,n01824575,coucal,92
412,413,n01828970,bee eater,colorful chiefly tropical Old World bird having a strong graceful flight; feeds on especially bees,n01828970,bee_eater,93
413,414,n01829413,hornbill,bird of tropical Africa and Asia having a very large bill surmounted by a bony protuberance; related to kingfishers,n01829413,hornbill,94
414,415,n01833805,hummingbird,tiny American bird having brilliant iridescent plumage and long slender bills; wings are specialized for vibrating flight,n01833805,hummingbird,95
415,416,n01843065,jacamar,tropical American insectivorous bird having a long sharp bill and iridescent green or bronze plumage,n01843065,jacamar,96
416,417,n01843383,toucan,brilliantly colored arboreal fruit-eating bird of tropical America having a very large thin-walled beak,n01843383,toucan,97
417,418,n01847000,drake,adult male of a wild or domestic duck,n01847000,drake,98
418,419,n01855032,"red-breasted merganser, Mergus serrator",widely distributed merganser of America and Europe,n01855032,red-breasted_merganser,99
419,420,n01855672,goose,web-footed long-necked typically gregarious migratory aquatic birds usually larger and less aquatic than ducks,n01855672,goose,100
420,421,n01860187,"black swan, Cygnus atratus",large Australian swan having black plumage and a red bill,n01860187,black_swan,101
421,422,n02002556,"white stork, Ciconia ciconia",the common stork of Europe; white with black wing feathers and a red bill,n02002556,white_stork,128
422,423,n02002724,"black stork, Ciconia nigra",Old World stork that is glossy black above and white below,n02002724,black_stork,129
423,424,n02006656,spoonbill,wading birds having a long flat bill with a tip like a spoon,n02006656,spoonbill,130
424,425,n02007558,flamingo,large pink to scarlet web-footed wading bird with down-bent bill; inhabits brackish lakes,n02007558,flamingo,131
425,426,n02009912,"American egret, great white heron, Egretta albus",a common egret of the genus Egretta found in America; it is a variety of the Old World white egret Casmerodius albus,n02009912,American_egret,133
426,427,n02009229,"little blue heron, Egretta caerulea",small bluish-grey heron of the western hemisphere,n02009229,little_blue_heron,132
427,428,n02011460,bittern,relatively small compact tawny-brown heron with nocturnal habits and a booming cry; found in marshes,n02011460,bittern,134
428,429,n02012849,crane,large long-necked wading bird of marshes and plains in many parts of the world,n02012849,crane,135
429,430,n02013706,"limpkin, Aramus pictus","wading bird of Florida, Cuba and Jamaica having a drooping bill and a distinctive wailing call",n02013706,limpkin,136
430,431,n02018207,"American coot, marsh hen, mud hen, water hen, Fulica americana",a coot found in North America,n02018207,American_coot,138
431,432,n02018795,bustard,large heavy-bodied chiefly terrestrial game bird capable of powerful swift flight; classified with wading birds but frequents grassy steppes,n02018795,bustard,139
432,433,n02025239,"ruddy turnstone, Arenaria interpres",common Arctic turnstone that winters in South America and Australia,n02025239,ruddy_turnstone,140
433,434,n02027492,"red-backed sandpiper, dunlin, Erolia alpina",small common sandpiper that breeds in northern or Arctic regions and winters in southern United States or Mediterranean regions,n02027492,red-backed_sandpiper,141
434,435,n02028035,"redshank, Tringa totanus",a common Old World wading bird with long red legs,n02028035,redshank,142
435,436,n02033041,dowitcher,shorebird of the sandpiper family that resembles a snipe,n02033041,dowitcher,143
436,437,n02037110,"oystercatcher, oyster catcher",black-and-white shorebird with stout legs and bill; feed on oysters etc.,n02037110,oystercatcher,144
437,438,n02017213,"European gallinule, Porphyrio porphyrio",purple gallinule of southern Europe,n02017213,European_gallinule,137
438,439,n02051845,pelican,large long-winged warm-water seabird having a large bill with a distensible pouch for fish,n02051845,pelican,145
439,440,n02056570,"king penguin, Aptenodytes patagonica",large penguin on islands bordering the Antarctic Circle,n02056570,king_penguin,146
440,441,n02058221,"albatross, mollymawk",large web-footed birds of the southern hemisphere having long narrow wings; noted for powerful gliding flight,n02058221,albatross,147
441,442,n01484850,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",large aggressive shark widespread in warm seas; known to attack humans,n01484850,great_white_shark,3
442,443,n01491361,"tiger shark, Galeocerdo cuvieri",large dangerous warm-water shark with striped or spotted body,n01491361,tiger_shark,4
443,444,n01494475,"hammerhead, hammerhead shark",medium-sized live-bearing shark with eyes at either end of a flattened hammer-shaped head; worldwide in warm waters; can be dangerous,n01494475,hammerhead,5
444,445,n01496331,"electric ray, crampfish, numbfish, torpedo",any sluggish bottom-dwelling ray of the order Torpediniformes having a rounded body and electric organs on each side of the head capable of emitting strong electric discharges,n01496331,electric_ray,6
445,446,n01498041,stingray,large venomous ray with large barbed spines near the base of a thin whiplike tail capable of inflicting severe wounds,n01498041,stingray,7
446,447,n02514041,"barracouta, snoek","a large marine food fish common on the coasts of Australia, New Zealand, and southern Africa",n02514041,barracouta,390
447,448,n02536864,"coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch",small salmon of northern Pacific coasts and the Great Lakes,n02536864,coho,392
448,449,n01440764,"tench, Tinca tinca",freshwater dace-like game fish of Europe and western Asia noted for ability to survive outside water,n01440764,tench,1
449,450,n01443537,"goldfish, Carassius auratus",small golden or orange-red freshwater fishes of Eurasia used as pond or aquarium fishes,n01443537,goldfish,2
450,451,n02526121,eel,voracious snakelike marine or freshwater fishes with smooth slimy usually scaleless skin and having a continuous vertical fin but no ventral fins,n02526121,eel,391
451,452,n02606052,"rock beauty, Holocanthus tricolor",gold and black butterflyfish found from West Indies to Brazil,n02606052,rock_beauty,393
452,453,n02607072,anemone fish,live associated with sea anemones,n02607072,anemone_fish,394
453,454,n02643566,lionfish,brightly striped fish of the tropical Pacific having elongated spiny fins,n02643566,lionfish,397
454,455,n02655020,"puffer, pufferfish, blowfish, globefish",any of numerous marine fishes whose elongated spiny body can inflate itself with water or air to form a globe; several species contain a potent nerve poison; closely related to spiny puffers,n02655020,puffer,398
455,456,n02640242,sturgeon,large primitive fishes valued for their flesh and roe; widely distributed in the North Temperate Zone,n02640242,sturgeon,395
456,457,n02641379,"gar, garfish, garpike, billfish, Lepisosteus osseus",primitive predaceous North American fish covered with hard scales and having long jaws with needlelike teeth,n02641379,gar,396
457,458,n01664065,"loggerhead, loggerhead turtle, Caretta caretta",very large carnivorous sea turtle; wide-ranging in warm open seas,n01664065,loggerhead,34
458,459,n01665541,"leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea",wide-ranging marine turtle with flexible leathery carapace; largest living turtle,n01665541,leatherback_turtle,35
459,460,n01667114,mud turtle,bottom-dwelling freshwater turtle inhabiting muddy rivers of North America and Central America,n01667114,mud_turtle,36
460,461,n01667778,terrapin,any of various edible North American web-footed turtles living in fresh or brackish water,n01667778,terrapin,37
461,462,n01669191,"box turtle, box tortoise",chiefly terrestrial turtle of North America; shell can be closed tightly,n01669191,box_turtle,38
462,463,n01675722,banded gecko,any of several geckos with dark bands across the body and differing from typical geckos in having movable eyelids; of United States southwest and Florida Gulf Coast,n01675722,banded_gecko,39
463,464,n01677366,"common iguana, iguana, Iguana iguana",large herbivorous tropical American arboreal lizards with a spiny crest along the back; used as human food in Central America and South America,n01677366,common_iguana,40
464,465,n01682714,"American chameleon, anole, Anolis carolinensis",small arboreal tropical American insectivorous lizards with the ability to change skin color,n01682714,American_chameleon,41
465,466,n01685808,"whiptail, whiptail lizard",any of numerous very agile and alert New World lizards,n01685808,whiptail,42
466,467,n01687978,agama,small terrestrial lizard of warm regions of the Old World,n01687978,agama,43
467,468,n01688243,"frilled lizard, Chlamydosaurus kingi",large arboreal insectivorous Australian lizard with a ruff of skin around the neck,n01688243,frilled_lizard,44
468,469,n01689811,alligator lizard,slim short-limbed lizard having a distinctive fold on each side that permits expansion; of western North America,n01689811,alligator_lizard,45
